Lombo Bovino Sem Osso Acem Pedaco Kg Por: R$ 23,90 
File De Peito Mister Frango Kg Por: R$ 8,99 
Sobrecoxa Nat Iqf 1kg Por: R$ 10,49 
Linguiça Pamplona Toscana Congelada 1kg Por: R$ 15,99 
Carne Moida Frango Copacol 500g Por: R$ 6,99 
File De Peito Nat Fat Congelada Iqf 1kg Por: R$ 12,99 
Frango Congelado Kg Por: R$ 6,49 
File De Peito Macedo Iqf Pacote 1kg Por: R$ 14,99 
Sobrecoxa De Frango Sadia 1kg Por: R$ 12,98 
Linguiça Perdigão Cozida Defumada Fina 240g Por: R$ 6,98 
File De Tilapia Copacol Congelada 400g Por: R$ 19,90 
Coxao De Fora Bovina Pedaco Kg Por: R$ 24,90 -14% 
Fraldinha Bovina (Vazio) Vácuo Kg Por: R$ 33,90 
Coxa De Frango Congelada Sadia 1kg Por: R$ 10,59 
Musculo Bovino Sem Osso Kg Por: R$ 23,90 
Leite Tirol Integral Longa Vida 1l Por: R$ 3,39 
Leite Terra Viva Integral Longa Vida 1l Por: R$ 3,19 
Leite Aurora Integral Rosca Longa Vida 1l Por: R$ 3,39 
Leite Pia Integral Longa Vida 1l Por: R$ 3,49 
Leite Terra Viva Semidesnatado Longa Vida 1l Por: R$ 3,19 
Leite Tirol Semidesnatado Longa Vida 1l Por: R$ 3,39 
Leite Ninho Integral Uht 1 Litro Por: R$ 4,85 
Queijo Tirol Mussarela Fatiado 400g Por: R$ 15,90 
Bebida Lactea Pirakids Chocolate Uht 200ml Por: R$ 0,95 
Achocolatado Tirol 200ml Un Por: R$ 1,19 
Requeijão Tirol Cremoso Tradicional 180g Por: R$ 4,49 
Leite Terra Viva Desnatado Longa Vida 1l Por: R$ 3,19 
Leite Pia Semidesnatado Longa Vida 1l Por: R$ 3,49 
Queijo Holandes Mussarela Fatiado 400g Por: R$ 14,98 
Queijo Ralado Parmezzo Fino 40g Por: R$ 2,29 
Iogurte Frimesa Morango Bandeja 540g Por: R$ 2,99 -23% 
