Polaca RIBERALVES Desfiada Dessalgada Congelada 500g R$29,99 
Tirinhas de Merluza COSTA SUL Empanado Congelado 400g R$17,99 
Filé de Salmão ATLANTICO Blumar Congelado Kg R$86,99/ KG 
Filé de Tilapia AURORA Congelada Pacote 400g R$18,99 
Filé de Salmão COSTA SUL Congelado com Pele 500g R$49,99 
Queijo Mussarela AURORA Fatiado kg R$32,99 
Queijo Prato Argentino LA PAULINA Fatiado kg R$37,90 
Queijo Mussarela Argentino NOAL Fatiado kg R$27,90/ KG 
Presunto Cozido AURORA Fatiado kg R$16,99/ KG 
Queijo Mussarela Argentino LA PAULINA Fatiado Kg R$41,90/ KG 
Queijo Mussarela Argentino NOAL Pedaço kg R$27,90/ KG 
Salsicha PERDIGÃO Hot Dog kg R$31,90 
Presunto SADIA cozido fatiado kg R$43,95 
Queijo Mussarela Argentino NOAL Ralado kg R$40,99/ KG 
Linguiça Calabresa SADIA kg undefined 
Bacon SADIA kg undefined 
Queijo Mussarela Uruguaio CONAPROLE Fatiado kg undefined 
Queijo Parmesão CONAPROLE Pedaço kg R$69,99/ KG 
Queijo Provolone HOLANDÊS kg R$56,90/ KG 
Queijo Gouda VELDHUYZEN Pedaço Kg R$79,90/ KG 
Queijo Parmesão Argentino NOAL Pedaço kg R$57,99/ KG 
Queijo Minas Frescal VERDE CAMPO Light kg R$46,50 
Queijo Minas Padrão VERDE CAMPO Sem Lactose kg R$64,90/ UN 
Queijo Parmesão LA PAULINA Ralado kg R$62,99/ KG 
Queijo Minas TIROLEZ Meia Cura R$49,80/ KG 
Queijo Prato Argentino LA PAULINA Fatiado kg R$32,99 
Leite PARMALAT Integral 1L R$3,49 
Leite TIROL Zero Lactose Semidesnatado 1L R$3,99 
Leite ELEGÊ Integral 1L R$3,39 
Leite LEITÍSSIMO Integral 1L R$6,65 
Leite NATURALLE Integral 1L R$4,75 
Leite LETTI a² Integral 1L R$9,55 
Leite NESTLÉ NINHO Integral 1L R$5,29 
Leite HOLANDÊS Pasteurizado 1L R$3,29 
Leite FAZENDA TREVISAN Pasteurizado Desnatado Zero de Gordura 1L R$6,69 
Bebida Láctea NESTLÉ Alpino Chocolate 280ml R$5,35 
Bebida Láctea NESCAU Prontinho 200ml R$2,79 
Bebida Láctea TODDYNHO Chocolate 200ml R$2,65 
Bebida Láctea NESCAU Prontinho sem Lactose 200ml R$3,95 
Bebida Láctea BATAVO Choco Milk 1l R$4,65 
Bebida Láctea QUIK Morango com 3 Unidades 200ml R$2,59 
Bebida Láctea UHT Chocolate VERDE CAMPO Mini Lac Caixa 200ml R$2,69 
Bebida Láctea NESCAFÉ Smoovlatté 270ml NESTLÉ Nescafé 270ml R$5,35 
Bebida Láctea NESCAU Fast 270ml R$5,35 
